"In celcius, what temperature does water boil at?",100
What is the capital of Brazil?,Brasilia
Which country is famous for tulips?,Holland
In which year did the Beatles Band begin?,1956
When was the first World War fought?,1914
How many bones are there in the human body?,206
Bill Gates is the founder of?,Microsoft
Which planet is closest to Sun?,Mercury
Mc Donald’s is the fast-food company founded in?,1940
When did the titanic sink?,1912
Golden Gate Bridge is located in which country?,USA
Where is Stonehenge located?,England
How many calories does an average woman need per day?,2000
Who is the father of Geography?,Eratosthenes
Muslim Leader Muhammad Ali Jinnah joined Muslim League in which year?,1913
1 byte is equal to how many bits?,8
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
